[ Date      , Closing Price      , Open      , Daily High      , Daily Low      
         4/22/2008        ,118.07, ,118.99,115.95
         4/21/2008        ,117.48,116.66,117.58,115.67
         4/18/2008        ,116.69,115,116.96,112.72
         4/17/2008        ,114.86,114,115.56,114.15
         4/16/2008        ,114.93,113,115.16,112.2
         4/15/2008        ,113.79,112,114.08,111.82
         4/14/2008        ,111.76,109.84,112,109.59
         4/11/2008        ,110.14,110,110.81,108.93
         4/10/2008        ,110.11,110,112.21,108.76
         4/9/2008        ,110.87,108,112.2,107.94
         4/8/2008        ,108.5,108,109.61,107.65
         4/7/2008        ,109.09,106.13,109.47,106.13
         4/4/2008        ,106.23,104,106.34,104.02
         4/3/2008        ,103.83,104,106.45,103.2
         4/2/2008        ,104.83,100,105.1,99.83
         4/1/2008        ,100.98,101,102.55,99.55
         3/31/2008        ,101.58,104.76,106.79,100.26
         3/28/2008        ,105.62,107,107.6,104.7
         3/27/2008        ,107.58,106,108.21,105.03
         3/26/2008        ,105.9,101.54,106.33,101.52
         3/25/2008        ,101.22,99.88,101.85,99.14
         3/24/2008        ,100.86,101,102.4,99.92
         3/20/2008        ,101.84,102.26,102.53,98.66
         3/19/2008        ,102.54, ,107.79,101.81
         3/18/2008        ,109.42,106,109.56,105.68
         3/17/2008        ,105.68,110.16,111.79,103.25
         3/14/2008        ,110.21,109.85,110.92,108.83
         3/13/2008        ,110.33,109.89,110.98,108.77
         3/12/2008        ,109.92,108.45,110.2,107.11
         3/11/2008        ,108.75,107.62,109.73,106.59
         3/10/2008        ,107.9,105.32,108.2,104.08
         3/7/2008        ,105.15,105,106.53,103.9
         3/6/2008        ,105.47,104,105.96,102.83
         3/5/2008        ,104.52,99,104.94,99.57
         3/4/2008        ,99.52,102,103.32,98.86
         3/3/2008        ,102.45,101.59,103.95,100.79
         2/29/2008        ,101.84,102,103.02,101.36
         2/28/2008        ,102.59,99,102.97,98.9
         2/27/2008        ,99.64,101,102.1,99.44
         2/26/2008        ,100.88,99,101.39,98.47
         2/25/2008        ,99.23,99.08,99.77,97.75
         2/22/2008        ,98.81,97,99.37,97.28
         2/21/2008        ,98.23,99,100.33,96.88
         2/20/2008        ,99.7, ,100.72,97.96
         2/19/2008        ,100.01,95,100.02,95.89
         2/18/2008        ,96.03,95,96.43,95.33
         2/15/2008        ,95.5,95,96.67,94.67
         2/14/2008        ,95.46,93.34,95.57,93.3
         2/13/2008        ,93.27,93,93.88,91.9
         2/12/2008        ,92.78,93,94.14,92.05
         2/11/2008        ,93.59,92.2,94.72,90.92
         2/8/2008        ,91.77,88,91.97,88.25
         2/7/2008        ,88.11,86,88.39,86.25
         2/6/2008        ,87.14,88,88.94,86.66
         2/5/2008        ,88.41,89,89.85,87.53
         2/4/2008        ,90.02,88.52,90.78,88.06
         2/1/2008        ,88.96,90,92.13,88.46
         1/31/2008        ,91.75,91,92.3,89.58
         1/30/2008        ,92.33,92,92.61,91.24
         1/29/2008        ,91.64,91,92.4,90.33
         1/28/2008        ,90.99,90.65,91.37,88.77
         1/25/2008        ,90.71,89,91.36,89.66
         1/24/2008        ,89.41,87,89.72,87.02
         1/23/2008        ,86.99,89,89.54,86.65
         1/22/2008        ,89.21,87,89.63,85.41
         1/21/2008        ,88.05,90,90.29,87.85
         1/18/2008        ,90.57,89,91.32,89.65
         1/17/2008        ,90.13,91,92.18,89.57
         1/16/2008        ,90.84,91,91.88,89.27
         1/15/2008        ,91.9,94,94.35,91
         1/14/2008        ,94.2,92.55,94.37,92.42
         1/11/2008        ,92.69,94,94.66,92.33
         1/10/2008        ,93.71,94.98,96.23,93.27
         1/9/2008        ,95.67,96,97.97,95.43
         1/8/2008        ,96.33,95,97.52,95.3
         1/7/2008        ,95.09,97.9,98.41,94.47
         1/4/2008        ,97.91,99,99.39,97.09
         1/3/2008        ,99.18,99,100.12,98.45
         1/2/2008        ,99.62,96,99.79,96.26
         12/31/2007        ,95.98,96,96.78,94.72
         12/28/2007        ,96,96,97.9,95.86
         12/27/2007        ,96.62,95,97.77,95.22
         12/26/2007        ,95.97,94,96.53,94.11
         12/24/2007        ,94.13,93,94.19,92.5
         12/21/2007        ,93.31,91,93.83,90.84
         12/20/2007        ,91.06,91,92.25,90.57
         12/19/2007        ,91.24, ,92.32,89.7
         12/17/2007        ,90.63,91.47,91.95,89.5
         12/14/2007        ,91.27,92,93.37,90.6
         12/13/2007        ,92.25,93,94.85,91.88
         12/12/2007        ,94.39,89,94.84,89.24
         12/11/2007        ,90.02,88,90.55,88.05
         12/10/2007        ,87.86,87.96,89.79,87.1
         12/7/2007        ,88.28,90,90.67,87.08
         12/6/2007        ,90.23,86,90.73,85.8
         12/5/2007        ,87.49,88,90.44,86.83
         12/4/2007        ,88.32,89,89.96,87.34
         12/3/2007        ,89.31,89,90,87.15
         11/30/2007        ,88.71,91,91.49,88.42
         11/29/2007        ,91.01,91,95.18,90.45
         11/28/2007        ,90.62,94,95.22,90.34
         11/27/2007        ,94.42,96,97.24,94.2
         11/26/2007        ,97.7,98.33,99.12,96.51
         11/23/2007        ,98.18,97,98.4,96.17
         11/22/2007        ,96.78,97.36,97.6,96.36
         11/21/2007        ,97.29,98,99.2,96.32
         11/20/2007        ,98.03,94,98.6,94
         11/19/2007        ,94.64,94.18,95.16,93.15
         11/16/2007        ,93.96, ,94.03, 
         11/15/2007        ,93.43,93,94.62,91.88
         11/14/2007        ,94.09,91,94.35,91.26
         11/13/2007        ,91.17,94,94.69,90.11
         11/12/2007        ,94.62,95.87,96.18,93.55
         11/9/2007        ,96.32,96,96.66,94.55
         11/8/2007        ,95.46,95,97.69,95.13
         11/7/2007        ,96.37,97,98.63,94.62
         11/6/2007        ,96.7,94,97.07,94.6
         11/5/2007        ,93.98,95.41,96.1,93.71
         11/2/2007        ,95.93,93,96.02,93.06
         11/1/2007        ,93.49,95,96.22,92.04
         10/31/2007        ,94.53,93,95.26,88.97
         10/30/2007        ,90.38,93,93.46,89.53
         10/29/2007        ,93.53,92.39,93.68,91.66
         10/26/2007        ,91.86,90,92.21,90.55
         10/25/2007        ,90.46,87,90.5,87.58
         10/24/2007        ,87.1,85,87.77,84.7
         10/23/2007        ,85.27,85,86.78,84.8
         10/22/2007        ,86.02,86.61,86.95,84.74
         10/19/2007        ,88.6,89,90.05,87.85
         10/18/2007        ,89.47,87,89.78,87.16
         10/17/2007        ,87.4,87,88.88,86.9
         10/16/2007        ,87.61,86,88.15,86.1
         10/15/2007        ,86.13,83.79,86.73,83.53
         10/12/2007        ,83.69,82,83.97,82.68
         10/11/2007        ,83.08,81.42,83.68,81.39
         10/10/2007        ,81.3,80,81.35,79.72
         10/9/2007        ,80.26,79,81.1,78.4
         10/8/2007        ,79.02,80,80.99,78.39
         10/5/2007        ,81.22,81,81.68,80.51
         10/4/2007        ,81.44,79,81.75,78.9
         10/3/2007        ,79.94,80,80.88,79.57
         10/2/2007        ,80.05,80,80.4,78.88
         10/1/2007        ,80.24,81,82,79.44
         9/28/2007        ,81.66,83,83.75,81.39
         9/27/2007        ,82.88,80.61,83.07,80.5
         9/26/2007        ,80.3,79,80.82,78.44
         9/25/2007        ,79.53,80,80.51,78.94
         9/24/2007        ,80.95,81.14,81.58,80.37
         9/21/2007        ,81.62,81,82.33,80.55
